19:15:37.988 [main] INFO  com.inetBanking.testCases.Base - Username entered
19:15:38.393 [main] INFO  com.inetBanking.testCases.Base - Password entered
19:15:39.851 [main] INFO  com.inetBanking.testCases.Base - Clicked Submit button
19:16:01.248 [main] INFO  com.inetBanking.testCases.Base - Username provided
19:16:01.505 [main] INFO  com.inetBanking.testCases.Base - Password provided
19:16:04.331 [main] INFO  com.inetBanking.testCases.Base - Username provided
19:16:04.502 [main] INFO  com.inetBanking.testCases.Base - Password provided
19:16:06.613 [main] INFO  com.inetBanking.testCases.Base - Login passed
19:16:19.766 [main] INFO  com.inetBanking.testCases.Base - Username provided
19:16:19.940 [main] INFO  com.inetBanking.testCases.Base - Password provided
19:16:21.301 [main] INFO  com.inetBanking.testCases.Base - Username provided
19:16:21.478 [main] INFO  com.inetBanking.testCases.Base - Password provided
19:16:22.631 [main] INFO  com.inetBanking.testCases.Base - Login passed
